title,reviews_link
Captive State,https://www.imdb.com/title/tt5968394/reviews?ref_=tt_urv
Serenity,https://www.imdb.com/title/tt6476140/reviews?ref_=tt_urv
Knives Out,https://www.imdb.com/title/tt8946378/reviews?ref_=tt_urv
Escape Room,https://www.imdb.com/title/tt5886046/reviews?ref_=tt_urv
Isn't It Romantic,https://www.imdb.com/title/tt2452244/reviews?ref_=tt_urv
Us,https://www.imdb.com/title/tt6857112/reviews?ref_=tt_urv
Velvet Buzzsaw,https://www.imdb.com/title/tt7043012/reviews?ref_=tt_urv
IO,https://www.imdb.com/title/tt3256226/reviews?ref_=tt_urv
Close,https://www.imdb.com/title/tt5316540/reviews?ref_=tt_urv
The Hustle,https://www.imdb.com/title/tt1298644/reviews?ref_=tt_urv
Maleficent: Mistress of Evil,https://www.imdb.com/title/tt4777008/reviews?ref_=tt_urv
Annabelle Comes Home,https://www.imdb.com/title/tt8350360/reviews?ref_=tt_urv
Pet Sematary,https://www.imdb.com/title/tt0837563/reviews?ref_=tt_urv
Triple Frontier,https://www.imdb.com/title/tt1488606/reviews?ref_=tt_urv
Shaft,https://www.imdb.com/title/tt4463894/reviews?ref_=tt_urv
The Hole in the Ground,https://www.imdb.com/title/tt6198946/reviews?ref_=tt_urv
The Kitchen,https://www.imdb.com/title/tt5822564/reviews?ref_=tt_urv
Anna,https://www.imdb.com/title/tt7456310/reviews?ref_=tt_urv
Code 8,https://www.imdb.com/title/tt6259380/reviews?ref_=tt_urv
Murder Mystery,https://www.imdb.com/title/tt1618434/reviews?ref_=tt_urv
Child's Play,https://www.imdb.com/title/tt8663516/reviews?ref_=tt_urv
Crawl,https://www.imdb.com/title/tt8364368/reviews?ref_=tt_urv
Point Blank,https://www.imdb.com/title/tt2499472/reviews?ref_=tt_urv
Polaroid,https://www.imdb.com/title/tt5598292/reviews?ref_=tt_urv
Gemini Man,https://www.imdb.com/title/tt1025100/reviews?ref_=tt_urv
Good Boys,https://www.imdb.com/title/tt7343762/reviews?ref_=tt_urv
Angel Has Fallen,https://www.imdb.com/title/tt6189022/reviews?ref_=tt_urv
Operation Brothers,https://www.imdb.com/title/tt4995776/reviews?ref_=tt_urv
Ma,https://www.imdb.com/title/tt7958736/reviews?ref_=tt_urv
Tolkien,https://www.imdb.com/title/tt3361792/reviews?ref_=tt_urv
Noelle,https://www.imdb.com/title/tt5097410/reviews?ref_=tt_urv
El Camino: A Breaking Bad Movie,https://www.imdb.com/title/tt9243946/reviews?ref_=tt_urv
Cold Pursuit,https://www.imdb.com/title/tt5719748/reviews?ref_=tt_urv
Let It Snow,https://www.imdb.com/title/tt1950235/reviews?ref_=tt_urv
Doctor Sleep,https://www.imdb.com/title/tt5606664/reviews?ref_=tt_urv
Last Christmas,https://www.imdb.com/title/tt8623904/reviews?ref_=tt_urv
Ready or Not,https://www.imdb.com/title/tt7798634/reviews?ref_=tt_urv
Klaus,https://www.imdb.com/title/tt4729430/reviews?ref_=tt_urv
The Irishman,https://www.imdb.com/title/tt1302006/reviews?ref_=tt_urv
Midway,https://www.imdb.com/title/tt6924650/reviews?ref_=tt_urv
Cats,https://www.imdb.com/title/tt5697572/reviews?ref_=tt_urv
Lady and the Tramp,https://www.imdb.com/title/tt8096832/reviews?ref_=tt_urv
6 Underground,https://www.imdb.com/title/tt8106534/reviews?ref_=tt_urv
Kill Chain,https://www.imdb.com/title/tt8535180/reviews?ref_=tt_urv
1917,https://www.imdb.com/title/tt8579674/reviews?ref_=tt_urv
A Shaun the Sheep Movie: Farmageddon,https://www.imdb.com/title/tt6193408/reviews?ref_=tt_urv
The Good Liar,https://www.imdb.com/title/tt5563334/reviews?ref_=tt_urv
Jojo Rabbit,https://www.imdb.com/title/tt2584384/reviews?ref_=tt_urv
Ford v Ferrari,https://www.imdb.com/title/tt1950186/reviews?ref_=tt_urv
Bombshell,https://www.imdb.com/title/tt6394270/reviews?ref_=tt_urv
The Gentlemen,https://www.imdb.com/title/tt8367814/reviews?ref_=tt_urv
Haunt,https://www.imdb.com/title/tt6535880/reviews?ref_=tt_urv
The Platform,https://www.imdb.com/title/tt8228288/reviews?ref_=tt_urv
Pokémon: Mewtwo Strikes Back - Evolution,https://www.imdb.com/title/tt8856470/reviews?ref_=tt_urv
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/reviews?ref_=tt_urv
Aquaman,https://www.imdb.com/title/tt1477834/reviews?ref_=tt_urv
Solo: A Star Wars Story,https://www.imdb.com/title/tt3778644/reviews?ref_=tt_urv
Fantastic Beasts: The Crimes of Grindelwald,https://www.imdb.com/title/tt4123430/reviews?ref_=tt_urv
Black Panther,https://www.imdb.com/title/tt1825683/reviews?ref_=tt_urv
Fifty Shades Freed,https://www.imdb.com/title/tt4477536/reviews?ref_=tt_urv
Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/reviews?ref_=tt_urv
Jurassic World: Fallen Kingdom,https://www.imdb.com/title/tt4881806/reviews?ref_=tt_urv
Ant-Man and the Wasp,https://www.imdb.com/title/tt5095030/reviews?ref_=tt_urv
Hotel Transylvania 3: Summer Vacation,https://www.imdb.com/title/tt5220122/reviews?ref_=tt_urv
Sherlock Gnomes,https://www.imdb.com/title/tt2296777/reviews?ref_=tt_urv
Bumblebee,https://www.imdb.com/title/tt4701182/reviews?ref_=tt_urv
The Grinch,https://www.imdb.com/title/tt2709692/reviews?ref_=tt_urv
Ralph Breaks the Internet,https://www.imdb.com/title/tt5848272/reviews?ref_=tt_urv
Pacific Rim: Uprising,https://www.imdb.com/title/tt2557478/reviews?ref_=tt_urv
Maze Runner: The Death Cure,https://www.imdb.com/title/tt4500922/reviews?ref_=tt_urv
Tomb Raider,https://www.imdb.com/title/tt1365519/reviews?ref_=tt_urv
Deadpool 2,https://www.imdb.com/title/tt5463162/reviews?ref_=tt_urv
Ready Player One,https://www.imdb.com/title/tt1677720/reviews?ref_=tt_urv
The Predator,https://www.imdb.com/title/tt3829266/reviews?ref_=tt_urv
Mary Poppins Returns,https://www.imdb.com/title/tt5028340/reviews?ref_=tt_urv
The Nutcracker and the Four Realms,https://www.imdb.com/title/tt5523010/reviews?ref_=tt_urv
Ocean's 8,https://www.imdb.com/title/tt5164214/reviews?ref_=tt_urv
Incredibles 2,https://www.imdb.com/title/tt3606756/reviews?ref_=tt_urv
Mission: Impossible - Fallout,https://www.imdb.com/title/tt4912910/reviews?ref_=tt_urv
The Equalizer 2,https://www.imdb.com/title/tt3766354/reviews?ref_=tt_urv
Rampage,https://www.imdb.com/title/tt2231461/reviews?ref_=tt_urv
Venom,https://www.imdb.com/title/tt1270797/reviews?ref_=tt_urv
Escape Plan 2: Hades,https://www.imdb.com/title/tt6513656/reviews?ref_=tt_urv
The Nun,https://www.imdb.com/title/tt5814060/reviews?ref_=tt_urv
The First Purge,https://www.imdb.com/title/tt6133466/reviews?ref_=tt_urv
Creed II,https://www.imdb.com/title/tt6343314/reviews?ref_=tt_urv
Insidious: The Last Key,https://www.imdb.com/title/tt5726086/reviews?ref_=tt_urv
Annihilation,https://www.imdb.com/title/tt2798920/reviews?ref_=tt_urv
Sicario: Day of the Soldado,https://www.imdb.com/title/tt5052474/reviews?ref_=tt_urv
Mamma Mia! Here We Go Again,https://www.imdb.com/title/tt6911608/reviews?ref_=tt_urv
A Wrinkle in Time,https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv
12 Strong,https://www.imdb.com/title/tt1413492/reviews?ref_=tt_urv
Halloween,https://www.imdb.com/title/tt1502407/reviews?ref_=tt_urv
Johnny English Strikes Again,https://www.imdb.com/title/tt6921996/reviews?ref_=tt_urv
Like Father,https://www.imdb.com/title/tt7170950/reviews?ref_=tt_urv
Mortal Engines,https://www.imdb.com/title/tt1571234/reviews?ref_=tt_urv
The Commuter,https://www.imdb.com/title/tt1590193/reviews?ref_=tt_urv
Skyscraper,https://www.imdb.com/title/tt5758778/reviews?ref_=tt_urv
Proud Mary,https://www.imdb.com/title/tt6421110/reviews?ref_=tt_urv
